time,stamp_sonde,stamp_ros,latitude,longitude,temperature,conductivity
1467928701520450000,1467942836000000000,1467928701482900000,34.109072,-117.712623333,27.1639995575,687.030029297
1467928707487820000,1467942840000000000,1467928707482980000,34.1090723333,-117.712625667,27.1830005646,687.049987793
1467928713489830000,1467942842000000000,1467928713482240000,34.1090733333,-117.712627667,27.1909999847,687.059997559
1467928719491200000,1467942846000000000,1467928719482320000,34.109074,-117.71263,27.2049999237,687.059997559
1467928725493600000,1467942848000000000,1467928725481820000,34.1090741667,-117.7126325,27.2119998932,687.059997559
1467928731494990000,1467942852000000000,1467928731481400000,34.1090745,-117.7126345,27.2280006409,687.059997559
1467928737496540000,1467942854000000000,1467928737482270000,34.109074,-117.712635833,27.2380008698,687.08001709
1467928743497730000,1467942858000000000,1467928743482210000,34.1090743333,-117.712638333,27.2619991302,687.109985352
1467928749499880000,1467942860000000000,1467928749481200000,34.1090733333,-117.712639833,27.2709999084,687.130004883
1467928755501120000,1467942864000000000,1467928755482760000,34.1090723333,-117.712641,27.2740001678,687.150024414
1467928761502810000,1467942866000000000,1467928761482390000,34.109073,-117.712642333,27.2670001984,687.150024414
1467928767505320000,1467942870000000000,1467928767482630000,34.1090726667,-117.7126435,27.2369995117,687.08001709
1467928773505650000,1467942872000000000,1467928773481250000,34.1090723333,-117.712643833,27.218000412,687.030029297
1467928779508070000,1467942876000000000,1467928779482290000,34.1090723333,-117.712644167,27.1790008545,686.91998291
1467928785510040000,1467942878000000000,1467928785483780000,34.1090715,-117.7126445,27.1590003967,686.820007324
1467928791511780000,1467942882000000000,1467928791480840000,34.1090705,-117.712644833,27.1189994812,686.640014648
1467928797513410000,1467942884000000000,1467928797481660000,34.1090696667,-117.7126445,27.1000003815,686.570007324
1467928803514360000,1467942888000000000,1467928803481710000,34.1090703333,-117.712645167,27.0690002441,686.409973145
1467928809515640000,1467942890000000000,1467928809482910000,34.1090708333,-117.712645333,27.0580005646,686.349975586
1467928815517030000,1467942894000000000,1467928815482600000,34.1090706667,-117.712644667,27.0489997864,686.260009766
1467928821484920000,1467942896000000000,1467928821481620000,34.1090706667,-117.712644333,27.0480003357,686.229980469
1467928827486250000,1467942900000000000,1467928827481600000,34.1090703333,-117.712644,27.0429992676,686.219970703
1467928833487460000,1467942902000000000,1467928833485570000,34.1090693333,-117.712643333,27.0380001068,686.179992676
1467928839488830000,1467942906000000000,1467928839485530000,34.1090683333,-117.712643167,27.0310001373,686.119995117
1467928845489970000,1467942908000000000,1467928845484590000,34.109067,-117.712642,27.031999588,686.090026855
1467928851491220000,1467942912000000000,1467928851485100000,34.1090666667,-117.712641833,27.0489997864,686.049987793
1467928857492500000,1467942914000000000,1467928857486230000,34.1090673333,-117.712642,27.063999176,686.070007324
1467928863493890000,1467942918000000000,1467928863486790000,34.109067,-117.712642,27.1060009003,686.190002441
1467928869495210000,1467942920000000000,1467928869487440000,34.1090665,-117.7126415,27.1280002594,686.280029297
1467928875496630000,1467942924000000000,1467928875487110000,34.1090653333,-117.712641667,27.1700000763,686.400024414
1467928881499910000,1467942926000000000,1467928881486500000,34.1090663333,-117.7126425,27.1909999847,686.450012207
1467928887501340000,1467942930000000000,1467928887488380000,34.1090668333,-117.7126425,27.2299995422,686.549987793
1467928893503400000,1467942932000000000,1467928893487650000,34.1090671667,-117.712642667,27.2460002899,686.599975586
1467928899504590000,1467942936000000000,1467928899488030000,34.1090675,-117.712642333,27.2770004272,686.700012207
1467928905505950000,1467942938000000000,1467928905488860000,34.1090678333,-117.712642,27.2910003662,686.75
1467928911507680000,1467942942000000000,1467928911489130000,34.1090671667,-117.712641333,27.3129997253,686.840026855
1467928917508840000,1467942944000000000,1467928917487040000,34.1090673333,-117.712641167,27.3159999847,686.880004883
1467928923510110000,1467942948000000000,1467928923489420000,34.1090668333,-117.712640833,27.3150005341,686.929992676
1467928929511300000,1467942950000000000,1467928929488860000,34.109067,-117.712641333,27.3120002747,686.950012207
1467928935512490000,1467942954000000000,1467928935490260000,34.1090671667,-117.712640833,27.3010005951,686.909973145
1467928941513820000,1467942956000000000,1467928941488830000,34.1090671667,-117.712640667,27.2919998169,686.859985352
1467928947515100000,1467942960000000000,1467928947489270000,34.1090676667,-117.712640333,27.267999649,686.780029297
1467928953489660000,1467942962000000000,1467928953485870000,34.1090671667,-117.712640333,27.2530002594,686.719970703
1467928959490770000,1467942966000000000,1467928959485750000,34.109068,-117.7126405,27.2229995728,686.559997559
1467928965491960000,1467942968000000000,1467928965487870000,34.1090681667,-117.7126405,27.2119998932,686.530029297
1467928971493260000,1467942972000000000,1467928971488450000,34.1090686667,-117.71264,27.2110004425,686.489990234
1467928977494490000,1467942974000000000,1467928977487960000,34.1090676667,-117.712638167,27.2189998627,686.469970703
1467928983495930000,1467942978000000000,1467928983488030000,34.1090673333,-117.712637,27.2390003204,686.460021973
1467928989497070000,1467942980000000000,1467928989486730000,34.109067,-117.712635833,27.2490005493,686.469970703
